Strain,MouseID,Sex,theta1,theta2,theta3,bin_avg_5.Corner_time_secs,bin_avg_5.Corner_distance_cm,bin_avg_20.Corner_time_secs,bin_avg_20.Corner_distance_cm,bin_avg_55.Corner_time_secs,bin_avg_55.Corner_distance_cm,bin_avg_5.Periphery_time_secs,bin_avg_5.Periphery_distance_cm,bin_avg_20.Periphery_time_secs,bin_avg_20.Periphery_distance_cm,bin_avg_55.Periphery_time_secs,bin_avg_55.Periphery_distance_cm
C57BL/6J,WT001G2N21513M-13-PSY,M,1.782693249925,0.07994220142795,7.86243613416,2.0328739267962,136.40289854,7.28941202722303,101.819428545,15.6845587342694,71.5480085490909,4.41877541798464,393.770220881119,17.0266651790695,324.369029295506,43.0393416420507,251.701853465818
C57BL/6J,WT001G2N21514M-14-PSY,M,4.402935953525,0.09996303947265,5.26935245279339,2.03626534519653,145.340519,6.57153209398255,98.61471322,21.9451551896763,89.1417061290909,4.52697375830612,431.918288785694,15.3142506758828,306.882395466963,42.5447769496051,239.728261022383
C57BL/6J,WT001G2N21515M-15-PSY,M,2.271689396,0.083355727959575,8.828303463505,2.0855374226224,152.24523466,7.53964051832242,103.994955945,17.4424836931789,79.2402782945454,4.39131413141314,444.980103312175,16.779982166741,317.780370267138,45.2673226276191,258.688586526351
C57BL/6J,WT001G2N21718M-18-PSY,M,3.24172192845,0.0837632410361,8.7980498971925,1.77021084676965,115.72195288,8.27622738297694,95.174623085,34.5306921279673,70.9431594563636,4.62791746532867,361.318170638437,18.3423011514121,272.897366137592,51.6221970486199,181.158675602636
C57BL/6J,WT001G2N21719M-19-PSY,M,4.663620679831,0.0729536863033475,5.1307650904475,2.54985915492958,177.5270672,11.7764459930314,132.6078637,43.3608596713022,102.938551416364,4.52984234234234,463.987317566803,18.6360089186176,313.173794792175,53.1677791262136,210.690430472892
C57BL/6J,WT001G2N21715M-15-PSY,M,5.94078555711975,0.09362205591415,8.34039417227812,1.68232231779086,113.9272595,6.40138408304498,92.3039539,24.6630782306042,97.6600586909091,4.62883331447324,344.857139704778,16.6972681865111,277.726582782343,46.542185618746,246.327641816734
C57BL/6J,WT001G2N21716M-16-PSY,M,2.53345193425,0.090901235093125,7.65429608069717,1.94094488188976,125.95097372,7.23711340206186,96.456452705,26.8298109010011,97.7501602781818,4.58666066809133,363.501244101801,17.1803516201833,277.002750054859,49.381035685755,235.462045608199
C57BL/6J,WT001G2N21717M-17-PSY,M,7.26225964664,0.12978018188185,7.611056394157,3.34726615454135,113.12968322,11.7739596117371,97.669989805,40.8048901387934,95.6307586981818,4.94746949841844,233.354791666667,18.3532299453308,214.612324233609,52.6932181442965,166.490380298405
C57BL/6J,WT001G2N21620M-20-PSY,M,4.8056181003525,0.119873431305863,1.243843304225,1.67626793177454,104.69235444,8.62243048001562,108.90592151,29.2695719907337,103.338636969091,3.67615497571445,277.456260543278,17.4903076451064,288.696478230027,48.7434878051248,243.133319634206
C57BL/6J,WT001G2N21516F-16-PSY,F,2.652640302205,0.08565136704365,7.91995859425925,2.22240990990991,171.76430094,8.49609810479376,119.79680564,27.971126618123,107.64281652,4.48536036036036,494.814124721951,18.6042363433668,352.093696980252,50.6424959546926,290.596578913101
